epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81791,1.48313,4.18011,0.03715,0.01658,0.48819,0.09995,0.05059,1.24496,3.90861,0.04424,0.00032716,0.00032716,0.0676111
2,13.9687,1.43721,3.58495,0.03519,0.00438,1,0.32642,0.14939,1.08261,3.3731,0.03846,0.000660422,0.000660422,0.034611
3,19.9987,1.38481,3.37672,0.03373,0.53085,0.33751,0.3172,0.16701,1.27384,2.84836,0.0451,0.000993396,0.000993396,0.00161068
4,25.9033,1.44775,3.23056,0.03517,0.50259,0.39245,0.31427,0.09806,1.8738,3.45026,0.07163,0.000999023,0.000999023,0.000999023
5,32.0141,1.43965,2.98577,0.03493,0.65792,0.37434,0.41548,0.20082,1.49011,2.78907,0.05469,0.000998264,0.000998264,0.000998264
6,37.9345,1.41024,2.98512,0.03496,0.52032,0.49376,0.41107,0.24317,1.34309,2.62874,0.04824,0.000997288,0.000997288,0.000997288
7,43.8797,1.44623,2.88345,0.0359,0.37961,0.51911,0.42632,0.18386,1.75754,2.47945,0.0675,0.000996097,0.000996097,0.000996097
8,49.9967,1.41779,2.78615,0.03484,0.43925,0.52206,0.48247,0.21588,1.59303,2.15427,0.0584,0.00099469,0.00099469,0.00099469
9,55.9834,1.37387,2.77116,0.03374,0.44009,0.54516,0.51647,0.27123,1.44455,2.09497,0.05078,0.000993068,0.000993068,0.000993068
10,62.0454,1.41312,2.73198,0.03457,0.73632,0.4418,0.53441,0.30452,1.31253,2.30397,0.04543,0.000991232,0.000991232,0.000991232
11,68.3112,1.37413,2.63577,0.03248,0.67334,0.48172,0.60417,0.2828,1.54393,2.2141,0.05631,0.000989183,0.000989183,0.000989183
12,74.337,1.40507,2.6326,0.03342,0.56485,0.5792,0.62182,0.2451,1.87235,1.89917,0.06939,0.000986922,0.000986922,0.000986922
13,80.3945,1.37856,2.52019,0.03325,0.52314,0.65891,0.67681,0.34983,1.54833,1.46858,0.05414,0.000984449,0.000984449,0.000984449
14,86.3524,1.40533,2.4718,0.03362,0.66479,0.64254,0.69841,0.29891,1.79962,1.58407,0.06635,0.000981765,0.000981765,0.000981765
15,92.2103,1.4426,2.3872,0.03566,0.57812,0.72167,0.76171,0.43362,1.40242,1.31358,0.04912,0.000978873,0.000978873,0.000978873
16,98.1821,1.46301,2.33737,0.03716,0.49485,0.67861,0.66402,0.31739,1.70397,1.67219,0.06528,0.000975773,0.000975773,0.000975773
17,104.124,1.39281,2.31175,0.03442,0.57056,0.65727,0.67181,0.35377,1.62499,1.30556,0.05768,0.000972466,0.000972466,0.000972466
18,110.139,1.43582,2.22386,0.03483,0.59683,0.80346,0.74321,0.4549,1.40788,1.08139,0.04793,0.000968955,0.000968955,0.000968955
19,116.188,1.42314,2.22647,0.03385,0.64706,0.76039,0.75696,0.43541,1.50753,1.07765,0.05197,0.000965239,0.000965239,0.000965239
20,122.154,1.41745,2.10496,0.03498,0.75762,0.72694,0.78906,0.47832,1.45114,1.0638,0.05037,0.000961322,0.000961322,0.000961322
