epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,84.3756,1.22944,1.32993,1.58079,0.88021,0.7875,0.87593,0.49361,1.60077,1.13161,2.15018,0.00105917,0.00105917,0.00105917
43,86.3843,1.12138,1.27836,1.56108,0.93136,0.72677,0.86369,0.4535,1.75593,1.14113,2.37993,0.00104278,0.00104278,0.00104278
44,88.4219,1.1369,1.2233,1.54678,0.87861,0.8269,0.90611,0.45813,1.78974,1.13264,2.3851,0.00102617,0.00102617,0.00102617
45,90.3667,1.1657,1.19762,1.55976,0.89982,0.74912,0.88572,0.50956,1.63598,1.15522,2.1593,0.00100935,0.00100935,0.00100935
46,92.3956,1.10398,1.20565,1.47966,0.81525,0.75927,0.84807,0.54243,1.52974,1.21094,2.0235,0.000992338,0.000992338,0.000992338
47,94.351,1.10541,1.21648,1.49421,0.873,0.79103,0.89745,0.57321,1.49418,1.03853,2.00085,0.000975138,0.000975138,0.000975138
48,96.2998,1.08851,1.17941,1.49893,0.94262,0.87436,0.95614,0.55088,1.55318,0.95681,2.18319,0.000957765,0.000957765,0.000957765
49,98.2409,1.13423,1.16354,1.51052,0.93968,0.84893,0.94895,0.54039,1.56041,0.8981,2.19956,0.00094023,0.00094023,0.00094023
50,100.146,1.08406,1.11943,1.48684,0.91622,0.80769,0.91112,0.57119,1.45359,0.91396,2.00543,0.000922545,0.000922545,0.000922545
51,102.103,1.0815,1.12413,1.46564,0.87929,0.84365,0.89615,0.59566,1.43747,0.91176,1.93883,0.000904722,0.000904722,0.000904722
52,104.124,1.07136,1.09062,1.45243,0.92059,0.84927,0.92877,0.61035,1.45707,0.86666,1.94606,0.000886774,0.000886774,0.000886774
53,106.181,1.0977,1.11375,1.46396,0.94442,0.87945,0.94065,0.61581,1.52208,0.78323,2.10608,0.000868712,0.000868712,0.000868712
54,108.207,1.06996,1.09465,1.47219,0.94936,0.8333,0.92778,0.58694,1.52219,0.80806,2.10628,0.00085055,0.00085055,0.00085055
55,110.146,1.0065,1.05474,1.40581,0.95591,0.84103,0.91353,0.53382,1.64973,0.84637,2.33187,0.0008323,0.0008323,0.0008323
56,112.098,1.08873,1.06772,1.48929,0.96098,0.88683,0.94389,0.56126,1.52514,0.92577,2.1041,0.000813973,0.000813973,0.000813973
57,114.042,1.00441,1.0346,1.41369,0.9251,0.8176,0.9304,0.63835,1.34697,0.86713,1.84806,0.000795584,0.000795584,0.000795584
58,115.999,1.04903,1.05856,1.45404,0.89199,0.9284,0.9635,0.61784,1.43078,0.82507,1.89057,0.000777143,0.000777143,0.000777143
59,117.944,1.07439,1.07567,1.45758,0.91145,0.91396,0.95526,0.58905,1.47634,0.8467,1.93501,0.000758665,0.000758665,0.000758665
60,119.916,1.06702,1.04883,1.45268,0.9534,0.90284,0.95015,0.59462,1.47465,0.87146,1.97339,0.000740161,0.000740161,0.000740161
61,121.931,1.01467,1.01243,1.4309,0.80337,0.88924,0.91207,0.56675,1.46554,0.90703,1.97611,0.000721645,0.000721645,0.000721645
62,124.037,1.05689,1.05651,1.4874,0.83848,0.86848,0.91991,0.54202,1.556,0.84972,2.11411,0.000703129,0.000703129,0.000703129
63,126.027,1.05898,1.0375,1.44536,0.89608,0.83605,0.92718,0.53913,1.66689,0.921,2.30649,0.000684625,0.000684625,0.000684625
64,127.94,0.97948,0.99289,1.41214,0.93288,0.80617,0.91772,0.5729,1.47414,0.85359,2.00787,0.000666147,0.000666147,0.000666147
65,129.842,1.00957,0.98115,1.40415,0.93183,0.8441,0.9104,0.59521,1.4384,0.80448,1.9672,0.000647706,0.000647706,0.000647706
66,131.759,1.00513,0.95213,1.38866,0.96632,0.80769,0.90902,0.59477,1.46568,0.82692,2.02876,0.000629317,0.000629317,0.000629317
67,133.668,1.01382,0.93662,1.41876,0.96222,0.79103,0.89469,0.58995,1.45471,0.83202,2.07996,0.00061099,0.00061099,0.00061099
68,135.612,1.0213,0.94315,1.42964,0.88844,0.8269,0.91894,0.61063,1.38786,0.84252,1.9743,0.00059274,0.00059274,0.00059274
69,137.568,1.04126,0.94722,1.43528,0.89776,0.79322,0.91806,0.63553,1.2821,0.81552,1.82029,0.000574578,0.000574578,0.000574578
70,139.516,1.08793,0.9949,1.48416,0.78617,0.93924,0.92652,0.67387,1.23727,0.83087,1.74676,0.000556516,0.000556516,0.000556516
71,141.549,0.95568,0.89329,1.39799,0.92939,0.93205,0.96532,0.65411,1.40313,0.76349,1.96329,0.000538568,0.000538568,0.000538568
72,143.464,0.99996,0.93083,1.3928,0.9217,0.94448,0.95379,0.59913,1.61079,0.77864,2.33423,0.000520745,0.000520745,0.000520745
73,145.393,0.99697,0.93135,1.41725,0.9813,0.89136,0.95948,0.60182,1.55374,0.78787,2.19145,0.00050306,0.00050306,0.00050306
74,147.322,0.96121,0.86586,1.38836,0.96656,0.91868,0.96293,0.6407,1.44808,0.79125,1.94514,0.000485525,0.000485525,0.000485525
75,149.211,0.98022,0.94095,1.39128,0.92829,0.90254,0.96447,0.65448,1.40907,0.75501,1.8924,0.000468152,0.000468152,0.000468152
76,151.142,0.9277,0.88127,1.34726,0.85964,0.94313,0.95989,0.63011,1.4141,0.77454,1.89999,0.000450952,0.000450952,0.000450952
77,153.099,0.91158,0.83162,1.34901,0.85,0.94275,0.95742,0.64664,1.36569,0.76674,1.85331,0.000433938,0.000433938,0.000433938
78,155.067,0.92967,0.87208,1.36089,0.9365,0.87093,0.9567,0.65582,1.30549,0.78217,1.82007,0.000417121,0.000417121,0.000417121
79,157.005,0.94534,0.88565,1.39499,0.9422,0.91446,0.97346,0.65775,1.32452,0.75427,1.83824,0.000400513,0.000400513,0.000400513
80,158.941,0.92704,0.88389,1.36936,0.89854,0.93281,0.9629,0.63587,1.4115,0.75802,1.93626,0.000384124,0.000384124,0.000384124
81,160.993,0.93532,0.89963,1.38059,0.86472,0.96602,0.96399,0.62881,1.45047,0.74286,2.01018,0.000367968,0.000367968,0.000367968
82,162.933,0.88007,0.78804,1.30929,0.8428,0.95831,0.95541,0.61404,1.41485,0.73412,1.9587,0.000352053,0.000352053,0.000352053
83,164.837,0.94402,0.86172,1.37089,0.84905,0.96736,0.95506,0.63136,1.38793,0.73899,1.93529,0.000336392,0.000336392,0.000336392
84,166.765,0.9393,0.88471,1.34527,0.98751,0.9023,0.972,0.66236,1.35049,0.72189,1.89241,0.000320995,0.000320995,0.000320995
85,168.685,0.89062,0.84994,1.34651,0.9789,0.93549,0.98215,0.64938,1.36139,0.70241,1.90222,0.000305872,0.000305872,0.000305872
86,170.652,0.87614,0.78569,1.3067,0.98552,0.92403,0.98857,0.64784,1.37815,0.70916,1.91929,0.000291035,0.000291035,0.000291035
87,172.654,0.93574,0.85091,1.37641,0.98417,0.92069,0.98452,0.64305,1.34708,0.71818,1.8676,0.000276492,0.000276492,0.000276492
88,174.677,0.94401,0.79774,1.35771,0.99029,0.91399,0.98391,0.64149,1.35443,0.70997,1.87127,0.000262255,0.000262255,0.000262255
89,176.697,0.85367,0.76256,1.3229,0.88925,0.92436,0.9742,0.61812,1.39348,0.72448,1.90096,0.000248332,0.000248332,0.000248332
90,178.671,0.94234,0.85483,1.36139,0.85816,0.96551,0.96828,0.59257,1.43359,0.72538,1.95829,0.000234734,0.000234734,0.000234734
91,180.703,0.91744,0.83926,1.33542,0.85648,0.97937,0.96786,0.58823,1.44009,0.71938,1.9598,0.000221469,0.000221469,0.000221469
92,182.658,0.86853,0.80568,1.29877,0.83692,0.96732,0.96877,0.598,1.43436,0.70909,1.94787,0.000208548,0.000208548,0.000208548
93,184.608,0.85087,0.76738,1.28114,0.83522,0.96915,0.96687,0.60862,1.39418,0.71419,1.90177,0.000195978,0.000195978,0.000195978
94,186.513,0.92247,0.79023,1.35197,0.93685,0.85211,0.96351,0.61735,1.38574,0.72144,1.89098,0.000183768,0.000183768,0.000183768
95,188.464,0.88226,0.78564,1.32004,0.92545,0.85811,0.96586,0.61656,1.37008,0.71122,1.87641,0.000171927,0.000171927,0.000171927
96,190.425,0.8403,0.74072,1.27831,0.92473,0.8811,0.97087,0.60315,1.41432,0.70536,1.94671,0.000160463,0.000160463,0.000160463
97,192.39,0.87255,0.72572,1.29349,0.93804,0.88284,0.97087,0.6061,1.41375,0.70864,1.94428,0.000149383,0.000149383,0.000149383
98,194.38,0.89046,0.77926,1.32528,0.91451,0.921,0.97159,0.59901,1.40032,0.70321,1.92996,0.000138695,0.000138695,0.000138695
99,196.375,0.89537,0.76586,1.31364,0.94006,0.89739,0.97087,0.60287,1.36472,0.69187,1.8919,0.000128407,0.000128407,0.000128407
100,198.272,0.85291,0.79892,1.30989,0.94371,0.89338,0.97159,0.61664,1.35703,0.67606,1.88918,0.000118526,0.000118526,0.000118526
